state,x,y
Andhra Pradesh,-64,-166
Arunachal Pradesh,228,142
Assam,206,94
Bihar,69,67
Chhattisgarh,-2,-28
Goa,-175,-162
Gujarat,-229,2
Haryana,-120,152
Himachal Pradesh,-95,216
Jharkhand,63,16
Karnataka,-138,-176
Kerala,-125,-266
Madhya Pradesh,-76,8
Maharashtra,-151,-83
Manipur,229,56
Meghalaya,168,75
Mizoram,213,29
Nagaland,238,93
Odisha,44,-43
Punjab,-136,187
Rajasthan,-174,92
Sikkim,125,116
Tamil Nadu,-83,-261
Telangana,-67,-110
Tripura,186,33
Uttar Pradesh,-27,95
Uttarakhand,-60,169
West Bengal,110,15
